performance_id,student_id,subject_name,studytime,failures,absences,final_marks,gpa,university_name
53,S0018,Programming,4,1,29,59,6.0,GSR University
54,S0018,Data Visualization,4,1,29,73,8.0,GSR University
55,S0019,Data Visualization,1,0,26,37,4.0,GSR University
56,S0019,Computer Networking,1,0,26,73,8.0,GSR University
57,S0019,Engineering Drawing,1,0,26,40,5.0,GSR University
58,S0020,Engineering Mathematics,2,0,0,88,9.0,GSR University
59,S0020,Programming,2,0,0,66,7.0,GSR University
60,S0020,Engineering Drawing,2,0,0,66,7.0,GSR University
61,S0021,Computer Networking,1,1,16,36,4.0,GSR University
62,S0021,Programming,1,1,16,37,4.0,GSR University
63,S0021,Engineering Drawing,1,1,16,83,9.0,GSR University
64,S0022,Engineering Drawing,4,0,26,88,9.0,GSR University
65,S0022,Computer Networking,4,0,26,57,6.0,GSR University
66,S0022,Engineering Mathematics,4,0,26,71,8.0,GSR University
67,S0023,Programming,3,1,1,40,5.0,GSR University
68,S0023,Computer Networking,3,1,1,66,7.0,GSR University
69,S0023,Data Visualization,3,1,1,89,9.0,GSR University
70,S0024,Programming,3,2,16,56,6.0,GSR University
71,S0024,Computer Networking,3,2,16,45,5.0,GSR University
72,S0024,Data Visualization,3,2,16,82,9.0,GSR University
73,S0025,Programming,4,2,5,53,6.0,GSR University
74,S0025,Data Visualization,4,2,5,60,7.0,GSR University
75,S0025,Engineering Mathematics,4,2,5,37,4.0,GSR University
76,S0026,Engineering Mathematics,4,2,19,74,8.0,GSR University
77,S0026,Data Visualization,4,2,19,35,4.0,GSR University
78,S0026,Computer Networking,4,2,19,45,5.0,GSR University
79,S0027,Programming,1,1,22,50,6.0,GSR University
80,S0027,Engineering Drawing,1,1,22,60,7.0,GSR University
81,S0027,Engineering Mathematics,1,1,22,82,9.0,GSR University
82,S0028,Engineering Drawing,4,0,1,39,4.0,GSR University
83,S0028,Computer Networking,4,0,1,71,8.0,GSR University
84,S0028,Data Visualization,4,0,1,66,7.0,GSR University
85,S0029,Programming,1,0,2,58,6.0,GSR University
86,S0029,Data Visualization,1,0,2,88,9.0,GSR University
87,S0029,Engineering Drawing,1,0,2,90,10.0,GSR University
88,S0030,Computer Networking,4,2,16,82,9.0,GSR University
89,S0030,Programming,4,2,16,59,6.0,GSR University
90,S0030,Engineering Drawing,4,2,16,69,7.0,GSR University
91,S0031,Programming,2,1,17,75,8.0,GSR University
92,S0031,Engineering Mathematics,2,1,17,70,8.0,GSR University
93,S0031,Computer Networking,2,1,17,67,7.0,GSR University
94,S0032,Data Visualization,2,0,15,51,6.0,GSR University
95,S0032,Programming,2,0,15,67,7.0,GSR University
96,S0032,Computer Networking,2,0,15,82,9.0,GSR University
97,S0033,Programming,3,1,22,61,7.0,GSR University
98,S0033,Engineering Mathematics,3,1,22,61,7.0,GSR University
99,S0033,Data Visualization,3,1,22,68,7.0,GSR University
100,S0034,Computer Networking,1,2,0,53,6.0,GSR University
101,S0034,Data Visualization,1,2,0,38,4.0,GSR University
102,S0034,Programming,1,2,0,69,7.0,GSR University
103,S0035,Programming,1,1,28,75,8.0,GSR University
104,S0035,Engineering Mathematics,1,1,28,71,8.0,GSR University
105,S0035,Computer Networking,1,1,28,58,6.0,GSR University
106,S0036,Data Visualization,2,0,2,55,6.0,GSR University
107,S0036,Engineering Drawing,2,0,2,66,7.0,GSR University
108,S0036,Computer Networking,2,0,2,57,6.0,GSR University
109,S0037,Programming,3,1,24,37,4.0,GSR University
110,S0037,Engineering Mathematics,3,1,24,74,8.0,GSR University
111,S0037,Engineering Drawing,3,1,24,80,9.0,GSR University
112,S0038,Programming,3,1,22,36,4.0,GSR University
113,S0038,Engineering Drawing,3,1,22,60,7.0,GSR University
114,S0038,Engineering Mathematics,3,1,22,51,6.0,GSR University
115,S0039,Programming,3,1,15,69,7.0,GSR University
116,S0039,Engineering Mathematics,3,1,15,84,9.0,GSR University
117,S0039,Computer Networking,3,1,15,59,6.0,GSR University
118,S0040,Computer Networking,2,2,24,80,9.0,GSR University
119,S0040,Data Visualization,2,2,24,50,6.0,GSR University
120,S0040,Engineering Drawing,2,2,24,48,5.0,GSR University
121,S0041,Engineering Mathematics,3,2,27,56,6.0,GSR University
122,S0041,Programming,3,2,27,85,9.0,GSR University
123,S0041,Computer Networking,3,2,27,59,6.0,GSR University
124,S0042,Computer Networking,2,0,21,86,9.0,GSR University
125,S0042,Programming,2,0,21,76,8.0,GSR University
126,S0042,Engineering Mathematics,2,0,21,40,5.0,GSR University
127,S0043,Data Visualization,3,0,0,38,4.0,GSR University
128,S0043,Computer Networking,3,0,0,40,5.0,GSR University
129,S0043,Programming,3,0,0,79,8.0,GSR University
130,S0044,Computer Networking,3,2,22,94,10.0,GSR University
131,S0044,Data Visualization,3,2,22,76,8.0,GSR University
132,S0044,Programming,3,2,22,64,7.0,GSR University
133,S0045,Programming,4,2,18,71,8.0,GSR University
134,S0045,Engineering Drawing,4,2,18,60,7.0,GSR University
135,S0045,Computer Networking,4,2,18,87,9.0,GSR University
136,S0046,Engineering Mathematics,3,0,11,35,4.0,GSR University
137,S0046,Computer Networking,3,0,11,81,9.0,GSR University
138,S0046,Data Visualization,3,0,11,68,7.0,GSR University
139,S0047,Computer Networking,4,0,7,73,8.0,GSR University
140,S0047,Data Visualization,4,0,7,39,4.0,GSR University
141,S0047,Engineering Mathematics,4,0,7,56,6.0,GSR University
142,S0048,Engineering Drawing,3,1,15,63,7.0,GSR University
143,S0048,Engineering Mathematics,3,1,15,48,5.0,GSR University
144,S0048,Data Visualization,3,1,15,62,7.0,GSR University
145,S0049,Engineering Drawing,1,1,13,82,9.0,GSR University
146,S0049,Computer Networking,1,1,13,55,6.0,GSR University
147,S0049,Data Visualization,1,1,13,73,8.0,GSR University
148,S0050,Computer Networking,2,1,4,70,8.0,GSR University
149,S0050,Programming,2,1,4,68,7.0,GSR University
150,S0050,Engineering Mathematics,2,1,4,86,9.0,GSR University
151,S0051,Data Visualization,2,2,25,38,4.0,GSR University
152,S0051,Computer Networking,2,2,25,50,6.0,GSR University
153,S0051,Engineering Drawing,2,2,25,58,6.0,GSR University
154,S0052,Programming,1,2,19,67,7.0,GSR University
155,S0052,Engineering Drawing,1,2,19,67,7.0,GSR University
156,S0052,Computer Networking,1,2,19,85,9.0,GSR University
157,S0053,Computer Networking,4,2,0,78,8.0,GSR University
158,S0053,Engineering Drawing,4,2,0,63,7.0,GSR University
159,S0053,Data Visualization,4,2,0,47,5.0,GSR University
160,S0054,Engineering Mathematics,2,1,28,51,6.0,GSR University
161,S0054,Programming,2,1,28,60,7.0,GSR University
162,S0054,Engineering Drawing,2,1,28,42,5.0,GSR University
163,S0055,Engineering Drawing,2,1,29,38,4.0,GSR University
164,S0055,Engineering Mathematics,2,1,29,92,10.0,GSR University
165,S0055,Programming,2,1,29,87,9.0,GSR University
166,S0056,Data Visualization,3,0,23,91,10.0,GSR University
167,S0056,Computer Networking,3,0,23,70,8.0,GSR University
168,S0056,Engineering Drawing,3,0,23,44,5.0,GSR University
169,S0057,Engineering Drawing,4,2,16,73,8.0,GSR University
170,S0057,Programming,4,2,16,66,7.0,GSR University
171,S0057,Data Visualization,4,2,16,58,6.0,GSR University
172,S0058,Data Visualization,4,0,11,59,6.0,GSR University
173,S0058,Engineering Mathematics,4,0,11,69,7.0,GSR University
174,S0058,Engineering Drawing,4,0,11,75,8.0,GSR University
175,S0059,Engineering Mathematics,1,1,19,53,6.0,GSR University
176,S0059,Computer Networking,1,1,19,83,9.0,GSR University
177,S0059,Engineering Drawing,1,1,19,70,8.0,GSR University
178,S0060,Engineering Mathematics,1,2,11,86,9.0,GSR University
179,S0060,Engineering Drawing,1,2,11,53,6.0,GSR University
180,S0060,Data Visualization,1,2,11,92,10.0,GSR University
181,S0061,Data Visualization,1,0,2,70,8.0,GSR University
182,S0061,Engineering Drawing,1,0,2,87,9.0,GSR University
183,S0061,Computer Networking,1,0,2,57,6.0,GSR University
184,S0062,Engineering Mathematics,1,0,9,92,10.0,GSR University
185,S0062,Programming,1,0,9,39,4.0,GSR University
186,S0062,Engineering Drawing,1,0,9,69,7.0,GSR University
187,S0063,Engineering Drawing,3,2,17,78,8.0,GSR University
188,S0063,Computer Networking,3,2,17,51,6.0,GSR University
189,S0063,Data Visualization,3,2,17,72,8.0,GSR University
190,S0064,Programming,1,1,8,39,4.0,GSR University
191,S0064,Engineering Mathematics,1,1,8,63,7.0,GSR University
192,S0064,Engineering Drawing,1,1,8,71,8.0,GSR University
193,S0065,Data Visualization,4,0,0,59,6.0,GSR University
194,S0065,Engineering Drawing,4,0,0,79,8.0,GSR University
195,S0065,Computer Networking,4,0,0,38,4.0,GSR University
196,S0066,Computer Networking,4,2,18,61,7.0,GSR University
197,S0066,Programming,4,2,18,44,5.0,GSR University
198,S0066,Data Visualization,4,2,18,60,7.0,GSR University
199,S0067,Programming,2,2,12,54,6.0,GSR University
200,S0067,Computer Networking,2,2,12,62,7.0,GSR University
201,S0067,Engineering Mathematics,2,2,12,42,5.0,GSR University
202,S0068,Engineering Drawing,1,2,0,94,10.0,GSR University
203,S0068,Engineering Mathematics,1,2,0,83,9.0,GSR University
204,S0068,Data Visualization,1,2,0,59,6.0,GSR University
205,S0069,Data Visualization,1,1,25,81,9.0,GSR University
206,S0069,Computer Networking,1,1,25,55,6.0,GSR University
207,S0069,Engineering Drawing,1,1,25,50,6.0,GSR University
208,S0070,Engineering Mathematics,3,0,3,81,9.0,GSR University
209,S0070,Data Visualization,3,0,3,75,8.0,GSR University
210,S0070,Programming,3,0,3,83,9.0,GSR University
211,S0071,Data Visualization,3,0,20,45,5.0,GSR University
212,S0071,Programming,3,0,20,46,5.0,GSR University
213,S0071,Engineering Drawing,3,0,20,44,5.0,GSR University
214,S0072,Programming,4,0,7,92,10.0,GSR University
215,S0072,Computer Networking,4,0,7,94,10.0,GSR University
216,S0072,Engineering Drawing,4,0,7,84,9.0,GSR University
217,S0073,Engineering Mathematics,1,0,3,43,5.0,GSR University
218,S0073,Programming,1,0,3,67,7.0,GSR University
219,S0073,Engineering Drawing,1,0,3,87,9.0,GSR University
220,S0074,Engineering Mathematics,4,0,12,85,9.0,GSR University
221,S0074,Engineering Drawing,4,0,12,39,4.0,GSR University
222,S0074,Data Visualization,4,0,12,81,9.0,GSR University
223,S0075,Data Visualization,2,1,17,90,10.0,GSR University
224,S0075,Engineering Drawing,2,1,17,67,7.0,GSR University
225,S0075,Engineering Mathematics,2,1,17,88,9.0,GSR University
226,S0076,Engineering Drawing,4,2,16,59,6.0,GSR University
227,S0076,Engineering Mathematics,4,2,16,56,6.0,GSR University
228,S0076,Data Visualization,4,2,16,93,10.0,GSR University
229,S0077,Data Visualization,1,0,1,55,6.0,GSR University
230,S0077,Engineering Drawing,1,0,1,82,9.0,GSR University
231,S0077,Engineering Mathematics,1,0,1,89,9.0,GSR University
232,S0078,Data Visualization,1,0,4,87,9.0,GSR University
233,S0078,Engineering Mathematics,1,0,4,71,8.0,GSR University
234,S0078,Engineering Drawing,1,0,4,44,5.0,GSR University
235,S0079,Engineering Mathematics,1,0,13,79,8.0,GSR University
236,S0079,Computer Networking,1,0,13,47,5.0,GSR University
237,S0079,Engineering Drawing,1,0,13,38,4.0,GSR University
238,S0080,Programming,1,1,27,88,9.0,GSR University
239,S0080,Computer Networking,1,1,27,37,4.0,GSR University
240,S0080,Engineering Mathematics,1,1,27,93,10.0,GSR University
241,S0081,Computer Networking,1,1,11,91,10.0,GSR University
242,S0081,Programming,1,1,11,51,6.0,GSR University
243,S0081,Engineering Mathematics,1,1,11,82,9.0,GSR University
244,S0082,Computer Networking,3,2,4,85,9.0,GSR University
245,S0082,Programming,3,2,4,73,8.0,GSR University
246,S0082,Engineering Mathematics,3,2,4,72,8.0,GSR University
247,S0083,Engineering Mathematics,2,1,1,85,9.0,GSR University
248,S0083,Programming,2,1,1,68,7.0,GSR University
249,S0083,Computer Networking,2,1,1,86,9.0,GSR University
250,S0084,Engineering Drawing,1,2,27,63,7.0,GSR University
251,S0084,Engineering Mathematics,1,2,27,38,4.0,GSR University
252,S0084,Programming,1,2,27,44,5.0,GSR University
253,S0085,Computer Networking,1,0,1,77,8.0,GSR University
254,S0085,Engineering Mathematics,1,0,1,77,8.0,GSR University
255,S0085,Programming,1,0,1,82,9.0,GSR University
256,S0086,Engineering Mathematics,3,0,22,66,7.0,GSR University
257,S0086,Engineering Drawing,3,0,22,37,4.0,GSR University
258,S0086,Programming,3,0,22,61,7.0,GSR University
259,S0087,Data Visualization,2,0,25,52,6.0,GSR University
260,S0087,Engineering Mathematics,2,0,25,62,7.0,GSR University
261,S0087,Programming,2,0,25,76,8.0,GSR University
262,S0088,Engineering Mathematics,1,1,0,68,7.0,GSR University
263,S0088,Computer Networking,1,1,0,83,9.0,GSR University
264,S0088,Data Visualization,1,1,0,48,5.0,GSR University
265,S0089,Engineering Mathematics,3,0,25,81,9.0,GSR University
266,S0089,Data Visualization,3,0,25,90,10.0,GSR University
267,S0089,Engineering Drawing,3,0,25,64,7.0,GSR University
268,S0090,Computer Networking,4,0,16,83,9.0,GSR University
269,S0090,Engineering Drawing,4,0,16,69,7.0,GSR University
270,S0090,Programming,4,0,16,86,9.0,GSR University
271,S0091,Programming,3,1,13,58,6.0,GSR University
272,S0091,Engineering Drawing,3,1,13,36,4.0,GSR University
273,S0091,Computer Networking,3,1,13,79,8.0,GSR University
274,S0092,Programming,3,2,6,77,8.0,GSR University
275,S0092,Data Visualization,3,2,6,81,9.0,GSR University
276,S0092,Engineering Mathematics,3,2,6,94,10.0,GSR University
277,S0093,Data Visualization,2,1,2,71,8.0,GSR University
278,S0093,Engineering Mathematics,2,1,2,62,7.0,GSR University
279,S0093,Programming,2,1,2,44,5.0,GSR University
280,S0094,Engineering Mathematics,1,2,21,47,5.0,GSR University
281,S0094,Computer Networking,1,2,21,54,6.0,GSR University
282,S0094,Programming,1,2,21,59,6.0,GSR University
283,S0095,Programming,3,0,12,68,7.0,GSR University
284,S0095,Engineering Drawing,3,0,12,81,9.0,GSR University
285,S0095,Engineering Mathematics,3,0,12,42,5.0,GSR University
286,S0096,Programming,3,1,8,68,7.0,GSR University
287,S0096,Computer Networking,3,1,8,93,10.0,GSR University
288,S0096,Engineering Mathematics,3,1,8,90,10.0,GSR University
289,S0097,Computer Networking,2,0,24,40,5.0,GSR University
290,S0097,Engineering Mathematics,2,0,24,40,5.0,GSR University
291,S0097,Data Visualization,2,0,24,89,9.0,GSR University
292,S0098,Data Visualization,3,1,29,65,7.0,GSR University
293,S0098,Engineering Drawing,3,1,29,74,8.0,GSR University
294,S0098,Engineering Mathematics,3,1,29,71,8.0,GSR University
295,S0099,Programming,3,1,1,49,5.0,GSR University
296,S0099,Data Visualization,3,1,1,40,5.0,GSR University
297,S0099,Computer Networking,3,1,1,88,9.0,GSR University
298,S0100,Engineering Mathematics,4,1,18,42,5.0,GSR University
299,S0100,Engineering Drawing,4,1,18,60,7.0,GSR University
300,S0100,Computer Networking,4,1,18,85,9.0,GSR University
301,S0101,Engineering Drawing,1,1,25,83,9.0,GSR University
302,S0101,Data Visualization,1,1,25,46,5.0,GSR University
303,S0101,Programming,1,1,25,81,9.0,GSR University
304,S0102,Data Visualization,2,1,4,37,4.0,GSR University
305,S0102,Engineering Mathematics,2,1,4,67,7.0,GSR University
306,S0102,Programming,2,1,4,40,5.0,GSR University
307,S0103,Computer Networking,2,0,22,74,8.0,GSR University
308,S0103,Programming,2,0,22,36,4.0,GSR University
309,S0103,Engineering Drawing,2,0,22,54,6.0,GSR University
310,S0104,Engineering Drawing,1,0,16,72,8.0,GSR University
311,S0104,Data Visualization,1,0,16,89,9.0,GSR University
312,S0104,Engineering Mathematics,1,0,16,69,7.0,GSR University
313,S0105,Programming,1,0,29,87,9.0,GSR University
314,S0105,Computer Networking,1,0,29,90,10.0,GSR University
315,S0105,Data Visualization,1,0,29,45,5.0,GSR University
316,S0106,Engineering Drawing,4,2,2,63,7.0,GSR University
317,S0106,Computer Networking,4,2,2,42,5.0,GSR University
318,S0106,Data Visualization,4,2,2,45,5.0,GSR University
319,S0107,Data Visualization,2,1,2,93,10.0,GSR University
320,S0107,Computer Networking,2,1,2,48,5.0,GSR University
321,S0107,Engineering Mathematics,2,1,2,60,7.0,GSR University
322,S0108,Engineering Drawing,1,0,9,48,5.0,GSR University
323,S0108,Engineering Mathematics,1,0,9,66,7.0,GSR University
324,S0108,Computer Networking,1,0,9,85,9.0,GSR University
325,S0109,Data Visualization,1,2,14,81,9.0,GSR University
326,S0109,Computer Networking,1,2,14,89,9.0,GSR University
327,S0109,Engineering Mathematics,1,2,14,36,4.0,GSR University
328,S0110,Engineering Drawing,4,2,6,41,5.0,GSR University
329,S0110,Programming,4,2,6,85,9.0,GSR University
330,S0110,Engineering Mathematics,4,2,6,42,5.0,GSR University
331,S0111,Computer Networking,4,2,14,61,7.0,GSR University
332,S0111,Engineering Mathematics,4,2,14,70,8.0,GSR University
333,S0111,Data Visualization,4,2,14,63,7.0,GSR University
334,S0112,Engineering Mathematics,1,0,4,38,4.0,GSR University
335,S0112,Data Visualization,1,0,4,56,6.0,GSR University
336,S0112,Programming,1,0,4,36,4.0,GSR University
337,S0113,Programming,3,1,0,79,8.0,GSR University
338,S0113,Data Visualization,3,1,0,58,6.0,GSR University
339,S0113,Engineering Mathematics,3,1,0,86,9.0,GSR University
340,S0114,Computer Networking,4,0,28,61,7.0,GSR University
341,S0114,Data Visualization,4,0,28,65,7.0,GSR University
342,S0114,Programming,4,0,28,85,9.0,GSR University
343,S0115,Engineering Mathematics,4,1,10,44,5.0,GSR University
344,S0115,Data Visualization,4,1,10,74,8.0,GSR University
345,S0115,Engineering Drawing,4,1,10,72,8.0,GSR University
346,S0116,Engineering Drawing,3,2,25,74,8.0,GSR University
347,S0116,Programming,3,2,25,52,6.0,GSR University
348,S0116,Data Visualization,3,2,25,59,6.0,GSR University
349,S0117,Computer Networking,4,2,11,71,8.0,GSR University
350,S0117,Data Visualization,4,2,11,42,5.0,GSR University
351,S0117,Programming,4,2,11,76,8.0,GSR University
352,S0118,Engineering Mathematics,3,1,8,75,8.0,GSR University
353,S0118,Engineering Drawing,3,1,8,56,6.0,GSR University
354,S0118,Data Visualization,3,1,8,45,5.0,GSR University
355,S0119,Computer Networking,2,0,20,91,10.0,GSR University
356,S0119,Programming,2,0,20,35,4.0,GSR University
357,S0119,Engineering Mathematics,2,0,20,88,9.0,GSR University
358,S0120,Computer Networking,4,2,20,86,9.0,GSR University
359,S0120,Data Visualization,4,2,20,91,10.0,GSR University
360,S0120,Engineering Mathematics,4,2,20,87,9.0,GSR University
361,S0121,Engineering Drawing,3,2,19,36,4.0,GSR University
362,S0121,Engineering Mathematics,3,2,19,41,5.0,GSR University
363,S0121,Computer Networking,3,2,19,52,6.0,GSR University
364,S0122,Data Visualization,3,0,10,88,9.0,GSR University
365,S0122,Programming,3,0,10,58,6.0,GSR University
366,S0122,Engineering Drawing,3,0,10,59,6.0,GSR University
367,S0123,Data Visualization,2,0,23,77,8.0,GSR University
368,S0123,Computer Networking,2,0,23,56,6.0,GSR University
369,S0123,Engineering Mathematics,2,0,23,60,7.0,GSR University
370,S0124,Data Visualization,1,0,6,54,6.0,GSR University
371,S0124,Computer Networking,1,0,6,88,9.0,GSR University
372,S0124,Engineering Drawing,1,0,6,56,6.0,GSR University
373,S0125,Computer Networking,1,0,6,57,6.0,GSR University
374,S0125,Data Visualization,1,0,6,85,9.0,GSR University
375,S0125,Engineering Drawing,1,0,6,93,10.0,GSR University
376,S0126,Computer Networking,4,1,28,50,6.0,GSR University
377,S0126,Data Visualization,4,1,28,74,8.0,GSR University
378,S0126,Engineering Mathematics,4,1,28,53,6.0,GSR University
379,S0127,Programming,2,2,14,83,9.0,GSR University
380,S0127,Computer Networking,2,2,14,84,9.0,GSR University
381,S0127,Engineering Mathematics,2,2,14,64,7.0,GSR University
382,S0128,Data Visualization,3,0,7,66,7.0,GSR University
383,S0128,Programming,3,0,7,44,5.0,GSR University
384,S0128,Engineering Mathematics,3,0,7,44,5.0,GSR University
385,S0129,Computer Networking,2,0,22,63,7.0,GSR University
386,S0129,Programming,2,0,22,42,5.0,GSR University
387,S0129,Data Visualization,2,0,22,35,4.0,GSR University
388,S0130,Computer Networking,3,2,26,81,9.0,GSR University
389,S0130,Programming,3,2,26,71,8.0,GSR University
390,S0130,Data Visualization,3,2,26,37,4.0,GSR University
391,S0131,Programming,4,2,7,90,10.0,GSR University
392,S0131,Engineering Mathematics,4,2,7,80,9.0,GSR University
393,S0131,Engineering Drawing,4,2,7,77,8.0,GSR University
394,S0132,Engineering Mathematics,1,1,20,67,7.0,GSR University
395,S0132,Programming,1,1,20,57,6.0,GSR University
396,S0132,Engineering Drawing,1,1,20,55,6.0,GSR University
397,S0133,Programming,1,2,3,35,4.0,GSR University
398,S0133,Computer Networking,1,2,3,81,9.0,GSR University
399,S0133,Data Visualization,1,2,3,39,4.0,GSR University
400,S0134,Programming,2,2,1,54,6.0,GSR University
401,S0134,Data Visualization,2,2,1,39,4.0,GSR University
402,S0134,Engineering Mathematics,2,2,1,71,8.0,GSR University
403,S0135,Programming,2,0,1,92,10.0,GSR University
404,S0135,Data Visualization,2,0,1,56,6.0,GSR University
405,S0135,Computer Networking,2,0,1,78,8.0,GSR University
406,S0136,Engineering Mathematics,2,2,13,48,5.0,GSR University
407,S0136,Engineering Drawing,2,2,13,43,5.0,GSR University
408,S0136,Computer Networking,2,2,13,74,8.0,GSR University
409,S0137,Programming,1,2,8,63,7.0,GSR University
410,S0137,Engineering Drawing,1,2,8,79,8.0,GSR University
411,S0137,Engineering Mathematics,1,2,8,68,7.0,GSR University
412,S0138,Computer Networking,3,1,17,68,7.0,GSR University
413,S0138,Engineering Mathematics,3,1,17,51,6.0,GSR University
414,S0138,Programming,3,1,17,71,8.0,GSR University
415,S0139,Engineering Mathematics,2,2,20,91,10.0,GSR University
416,S0139,Computer Networking,2,2,20,65,7.0,GSR University
417,S0139,Programming,2,2,20,40,5.0,GSR University
418,S0140,Engineering Mathematics,2,0,24,51,6.0,GSR University
419,S0140,Programming,2,0,24,60,7.0,GSR University
420,S0140,Data Visualization,2,0,24,55,6.0,GSR University
421,S0141,Engineering Drawing,2,1,1,85,9.0,GSR University
422,S0141,Programming,2,1,1,87,9.0,GSR University
423,S0141,Computer Networking,2,1,1,70,8.0,GSR University
424,S0142,Data Visualization,1,0,10,73,8.0,GSR University
425,S0142,Engineering Drawing,1,0,10,74,8.0,GSR University
426,S0142,Programming,1,0,10,69,7.0,GSR University
427,S0143,Computer Networking,3,2,23,70,8.0,GSR University
428,S0143,Data Visualization,3,2,23,81,9.0,GSR University
429,S0143,Programming,3,2,23,54,6.0,GSR University
430,S0144,Engineering Mathematics,4,2,16,43,5.0,GSR University
431,S0144,Data Visualization,4,2,16,60,7.0,GSR University
432,S0144,Engineering Drawing,4,2,16,36,4.0,GSR University
433,S0145,Engineering Mathematics,1,0,0,76,8.0,GSR University
434,S0145,Data Visualization,1,0,0,59,6.0,GSR University
435,S0145,Computer Networking,1,0,0,73,8.0,GSR University
436,S0146,Programming,2,0,11,68,7.0,GSR University
437,S0146,Engineering Drawing,2,0,11,46,5.0,GSR University
438,S0146,Data Visualization,2,0,11,53,6.0,GSR University
439,S0147,Computer Networking,3,2,16,89,9.0,GSR University
440,S0147,Engineering Mathematics,3,2,16,83,9.0,GSR University
441,S0147,Data Visualization,3,2,16,81,9.0,GSR University
442,S0148,Data Visualization,4,2,7,88,9.0,GSR University
443,S0148,Engineering Mathematics,4,2,7,50,6.0,GSR University
444,S0148,Computer Networking,4,2,7,40,5.0,GSR University
445,S0149,Computer Networking,1,2,26,81,9.0,GSR University
446,S0149,Engineering Drawing,1,2,26,66,7.0,GSR University
447,S0149,Engineering Mathematics,1,2,26,44,5.0,GSR University
448,S0150,Engineering Mathematics,3,1,20,87,9.0,GSR University
449,S0150,Programming,3,1,20,41,5.0,GSR University
450,S0150,Engineering Drawing,3,1,20,43,5.0,GSR University
451,S0151,Structural Engineering,4,1,26,86,9.0,GSR University
452,S0151,Transportation Engineering,4,1,26,73,8.0,GSR University
453,S0151,Environmental Engineering,4,1,26,69,7.0,GSR University
454,S0152,Water Resources Engineering,2,2,16,37,4.0,GSR University
455,S0152,Geotechnical Engineering,2,2,16,71,8.0,GSR University
456,S0152,Structural Engineering,2,2,16,77,8.0,GSR University
457,S0153,Environmental Engineering,3,2,14,59,6.0,GSR University
458,S0153,Geotechnical Engineering,3,2,14,47,5.0,GSR University
